TimestampLocal,TimestampLocal.total_count,parkade
2015-06-05 0:00,317,Thunderbird
2015-06-06 0:00,139,Thunderbird
2015-06-07 0:00,862,Thunderbird
2015-06-08 0:00,892,Thunderbird
2015-06-09 0:00,909,Thunderbird
2015-06-10 0:00,1357,Thunderbird
2015-06-11 0:00,989,Thunderbird
2015-06-12 0:00,185,Thunderbird
2015-06-13 0:00,691,Thunderbird
2015-06-14 0:00,1324,Thunderbird
2015-06-15 0:00,894,Thunderbird
2015-06-16 0:00,887,Thunderbird
2015-06-17 0:00,610,Thunderbird
2015-06-18 0:00,218,Thunderbird
2015-06-19 0:00,172,Thunderbird
2015-06-20 0:00,579,Thunderbird
2015-06-21 0:00,646,Thunderbird
2015-06-22 0:00,728,Thunderbird
2015-06-23 0:00,587,Thunderbird
2015-06-24 0:00,445,Thunderbird
2015-06-25 0:00,128,Thunderbird
2015-06-26 0:00,547,Thunderbird
2015-06-27 0:00,504,Thunderbird
2015-06-28 0:00,947,Thunderbird
2015-06-29 0:00,598,Thunderbird
2015-06-30 0:00,477,Thunderbird
2015-07-01 0:00,479,Thunderbird
2015-07-02 0:00,466,Thunderbird
2015-07-03 0:00,507,Thunderbird
2015-07-04 0:00,794,Thunderbird
2015-07-05 0:00,704,Thunderbird
2015-07-06 0:00,646,Thunderbird
2015-07-07 0:00,1821,Thunderbird
2015-07-08 0:00,436,Thunderbird
2015-07-09 0:00,121,Thunderbird
2015-07-10 0:00,121,Thunderbird
2015-07-11 0:00,657,Thunderbird
2015-07-12 0:00,655,Thunderbird
2015-07-13 0:00,476,Thunderbird
2015-07-14 0:00,1061,Thunderbird
2015-07-15 0:00,504,Thunderbird
2015-07-16 0:00,97,Thunderbird
2015-07-17 0:00,137,Thunderbird
2015-07-18 0:00,761,Thunderbird
2015-07-19 0:00,705,Thunderbird
2015-07-20 0:00,508,Thunderbird
2015-07-21 0:00,657,Thunderbird
2015-07-22 0:00,494,Thunderbird
2015-07-23 0:00,140,Thunderbird
2015-07-24 0:00,139,Thunderbird
2015-07-25 0:00,757,Thunderbird
2015-07-26 0:00,595,Thunderbird
2015-07-27 0:00,466,Thunderbird
2015-07-28 0:00,536,Thunderbird
2015-07-29 0:00,497,Thunderbird
2015-07-30 0:00,175,Thunderbird
2015-07-31 0:00,106,Thunderbird
2015-08-01 0:00,157,Thunderbird
2015-08-02 0:00,684,Thunderbird
2015-08-03 0:00,834,Thunderbird
2015-08-04 0:00,470,Thunderbird
2015-08-05 0:00,452,Thunderbird
2015-08-06 0:00,149,Thunderbird
2015-08-07 0:00,174,Thunderbird
2015-08-08 0:00,698,Thunderbird
2015-08-09 0:00,544,Thunderbird
2015-08-10 0:00,857,Thunderbird
2015-08-11 0:00,638,Thunderbird
2015-08-12 0:00,622,Thunderbird
2015-08-13 0:00,92,Thunderbird
2015-08-14 0:00,128,Thunderbird
2015-08-15 0:00,749,Thunderbird
2015-08-16 0:00,1123,Thunderbird
2015-08-17 0:00,636,Thunderbird
2015-08-18 0:00,616,Thunderbird
2015-08-19 0:00,481,Thunderbird
2015-08-20 0:00,124,Thunderbird
2015-08-21 0:00,96,Thunderbird
2015-08-22 0:00,466,Thunderbird
2015-08-23 0:00,645,Thunderbird
2015-08-24 0:00,624,Thunderbird
2015-08-25 0:00,601,Thunderbird
2015-08-26 0:00,691,Thunderbird
2015-08-27 0:00,1406,Thunderbird
2015-08-28 0:00,328,Thunderbird
2015-08-29 0:00,853,Thunderbird
2015-08-30 0:00,822,Thunderbird
2015-08-31 0:00,898,Thunderbird
2015-09-01 0:00,833,Thunderbird
2015-09-02 0:00,723,Thunderbird
2015-09-03 0:00,1670,Thunderbird
2015-09-04 0:00,219,Thunderbird
2015-09-05 0:00,267,Thunderbird
2015-09-06 0:00,1453,Thunderbird
2015-09-07 0:00,2097,Thunderbird
2015-09-08 0:00,1584,Thunderbird
2015-09-09 0:00,1213,Thunderbird
2015-09-10 0:00,325,Thunderbird
2015-09-11 0:00,304,Thunderbird
2015-09-12 0:00,1290,Thunderbird
2015-09-13 0:00,2225,Thunderbird
2015-09-14 0:00,1403,Thunderbird
2015-09-15 0:00,1527,Thunderbird
2015-09-16 0:00,1297,Thunderbird
2015-09-17 0:00,1673,Thunderbird
2015-09-18 0:00,387,Thunderbird
2015-09-19 0:00,561,Thunderbird
2015-09-20 0:00,2060,Thunderbird
2015-09-21 0:00,1602,Thunderbird
2015-09-22 0:00,1958,Thunderbird
2015-09-23 0:00,2018,Thunderbird
